epoch,lr,train_loss,val_loss,train_nmse,val_nmse,train_nmse_db,val_nmse_db
1,0.001,0.002693912269547582,0.00013823749229777604,2.7585661628246307,0.141555184841156,4.40683404753811,-8.490742187985962
2,0.001,4.487034388876054e-05,6.075167115341173e-06,0.045947232265025374,0.006220971245318651,-13.377406441958042,-22.06141806056189
3,0.001,1.8001753645648932e-06,1.9106443892269453e-07,0.0018433795949677006,0.00019564998883288355,-27.34385224181462,-37.08520172551531
4,0.001,5.237456024076437e-08,4.373460399165197e-09,5.363154978840612e-05,4.478423343243776e-06,-42.70579653068108,-53.48874855164189
5,0.001,1.1370136989707902e-09,1.1747755623847666e-10,1.1643020459359832e-06,1.202970203166842e-07,-59.339343393882764,-69.19745129734538
6,0.001,6.600693791547485e-11,5.4993860354457524e-11,6.759110402754231e-08,5.6313713542976986e-08,-71.7011045976817,-72.4938583266528
7,0.001,5.203017974797497e-11,5.454544571570352e-11,5.3278904289300046e-08,5.585453567391596e-08,-72.73444715256747,-72.52941554183616
8,0.001,5.194530933172459e-11,5.453879711736498e-11,5.3191996386203755e-08,5.584772733868704e-08,-72.74153709562077,-72.52994495320972
9,0.001,5.194870056346446e-11,5.45305093579973e-11,5.3195469774891536e-08,5.583924212260172e-08,-72.74125351455703,-72.53060484801185
10,0.001,5.19528212117315e-11,5.4533000254375355e-11,5.319968886396964e-08,5.584179143625079e-08,-72.74090907649618,-72.53040657748815
11,0.001,5.1955236113343516e-11,5.452235091185642e-11,5.320216200743744e-08,5.583088605476405e-08,-72.74070718666957,-72.53125479696747
12,0.001,5.194967162003295e-11,5.4521218456615726e-11,5.3196463852600575e-08,5.582972642059758e-08,-72.74117235756533,-72.53134500294223
13,0.001,5.195372118627084e-11,5.453438564617663e-11,5.3200610608428176e-08,5.5843210532202646e-08,-72.74083383074328,-72.5302962125277
14,0.001,5.19505826135358e-11,5.4545379241099926e-11,5.319739636888698e-08,5.585446788813897e-08,-72.74109622785699,-72.5294208124926
15,0.001,5.1958062019519246e-11,5.455875606852345e-11,5.3205055678517966e-08,5.586816584468579e-08,-72.74047097987639,-72.52835586320298
16,0.001,5.195860983131517e-11,5.4546885064343795e-11,5.320561623989306e-08,5.585600993640583e-08,-72.74042522342967,-72.52930091271843
17,0.001,5.1962457670029496e-11,5.454799845150404e-11,5.320955688148388e-08,5.5857150698557233e-08,-72.74010357777546,-72.52921221650668
18,0.001,5.196277985675124e-11,5.4545666122729486e-11,5.3209886971217203e-08,5.585476174019277e-08,-72.74007663605418,-72.52939796418796
19,0.001,5.197216954022643e-11,5.456297424988321e-11,5.3219501751300416e-08,5.587248608662776e-08,-72.7392919569357,-72.52802003963215
20,0.001,5.19616555338942e-11,5.454309767727317e-11,5.320873583514185e-08,5.5852132021527725e-08,-72.74017059179845,-72.52960244079043
